response_timestamp,institute,status,assets_brought,attended_before,nickname,ping_pong,basketball,running_sprints,volleyball,football,tennis,badminton,spikeball,chess,capture_the_flag,beer_pong,foosball,ping_pong_days,num_sports,late_entry,confirmation_status,Team,subteam_ping_pong,subteam_basketball,subteam_running_sprints,subteam_volleyball,subteam_football,subteam_tennis,subteam_badminton,subteam_spikeball,subteam_capture_the_flag,subteam_chess,subteam_beer_pong,subteam_foosball,num_sports_attending,attendance_ratio,has_paid_fee,dropout_sports,num_dropout_sports,confirm_date,is_full_dropout,has_confirmed
2025-03-28 14:03:14,MPE,PhD,,True,Stark Otter,True,True,False,False,False,True,True,True,True,False,True,True,"['monday', 'tuesday', 'thursday', 'friday']",10,False,False,Team A,07,R,,,,2,R,5,,2,6,R,6,0.6,True,[],0,2025-04-29,False,True
2025-03-10 17:19:36,MPA,PhD,,True,Dishonest Fangtooth,True,True,False,False,True,True,False,True,True,True,False,True,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",8,False,False,Team A,16,R,,,1,R,,2,2,R,,3,5,0.625,True,[],0,2025-04-23,False,True
2025-03-12 17:34:03,MPE,PhD,,True,Striped Himalayan,True,False,True,False,False,True,True,False,False,True,True,False,"['tuesday', 'thursday', 'friday']",6,False,False,Team A,02,,1,,,6,1,,1,,3,,6,1.0,True,[],0,2025-04-29,False,True
2025-03-25 16:44:33,IPP,PhD,,False,Kooky Snake,True,False,False,False,True,False,False,True,False,True,True,True,"['tuesday', 'wednesday', 'thursday', 'friday']",6,False,False,Team A,06,,,,1,,,3,2,,6,R,5,0.8333333333333334,True,[],0,,False,False
2025-04-05 00:12:56,ESO,PhD,No,False,Far-flung Sloth,True,False,False,True,True,False,False,False,False,True,True,True,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",6,False,False,Team A,14,,,R,2,,,,1,,1,R,5,0.8333333333333334,True,[],0,2025-04-30,False,True
2025-04-04 10:22:41,IPP,PhD,,True,Defiant Tortoise,True,False,True,False,False,False,False,False,True,True,False,True,['thursday'],5,False,False,Team A,21,,1,,,,,,R,6,,2,4,0.8,False,[],0,2025-04-30,False,True
2025-03-17 17:23:47,MPA,PhD,Badminton racket - 1,False,Deserted Chimpanzee,True,False,False,False,False,False,True,False,False,True,True,True,"['monday', 'thursday', 'friday']",5,False,False,Team A,D,,,,,,1,,2,,6,R,4,0.8,True,['ping_pong'],1,2025-04-29,False,True
2025-04-05 00:18:16,ESO,PhD,,False,Mushy Sparrow,True,False,True,False,False,False,True,False,False,True,False,True,['friday'],5,False,False,Team A,19,,1,,,,3,,2,,,6,5,1.0,True,[],0,2025-04-28,False,True
2025-03-24 16:17:07,USM/LMU,PhD,,True,Graceful Llama,False,False,False,True,True,False,False,True,False,False,True,False,[],4,False,False,Team A,,,,R,1,,,5,,,2,,4,1.0,True,[],0,2025-04-28,False,True
2025-04-03 11:12:12,USM/LMU,PhD,,False,Virtuous Pika,False,True,False,False,False,False,True,False,True,False,True,False,[],4,False,False,Team A,,R,,,,,R,,,1,2,,3,0.75,True,[],0,2025-04-30,False,True
2025-04-03 17:12:05,MPE,PhD,-,False,Outrageous Gar,True,False,False,True,False,True,False,False,False,False,True,False,['wednesday'],4,False,False,Team A,08,,,R,,1,,,,,4,,4,1.0,True,[],0,2025-04-25,False,True
2025-03-08 18:51:20,MPE,PhD,Table Tennis racket,True,Monstrous Jackal,True,False,False,True,False,True,True,False,False,False,False,False,['monday'],4,False,False,Team A,01,,,R,,5,3,,,,,,4,1.0,True,[],0,2025-04-23,False,True
2025-03-27 17:27:36,MPA,PhD,,True,Scientific Angelfish,False,False,True,True,True,False,False,False,False,False,False,True,[],4,False,False,Team A,,,R,R,2,,,,,,,6,3,0.75,True,[],0,2025-04-30,False,True
2025-03-10 16:56:59,IPP,PostDoc,,True,Trifling Tarpon,True,False,False,True,True,False,False,False,True,False,False,False,"['monday', 'tuesday', 'thursday']",4,False,False,Team A,13,,,D,D,,,,,5,,,4,1.0,True,['football'],1,2025-04-23,False,True
2025-03-12 10:44:23,MPE,PhD,Basketball,False,Near Ladybug,False,True,False,False,False,True,False,True,False,False,False,False,[],4,False,False,Team A,,R,,,,4,,1,,,,,3,0.75,True,[],0,2025-04-28,False,True
2025-04-04 16:32:47,MPA,PhD,,True,Far Chamois,True,False,False,False,False,False,True,False,False,True,False,True,['tuesday'],4,False,False,Team A,17,,,,,,5,,1,,,1,4,1.0,True,[],0,2025-04-23,False,True
2025-04-04 15:12:43,MPQ,PhD,,False,Quirky Centipede,True,False,False,False,True,False,False,True,False,False,False,True,['thursday'],4,False,False,Team A,23,,,,2,,,2,,,,1,4,1.0,True,[],0,2025-04-23,False,True
2025-04-01 13:01:03,MPE,PhD,,False,Beautiful Olm,False,False,True,False,False,False,True,False,False,False,True,False,[],3,False,False,Team A,,,1,,,,D,,,,1,,3,1.0,True,[],0,2025-04-25,False,True
2025-04-04 20:57:55,IPP,PhD,,False,Rigid Pelican,False,True,False,False,True,False,False,False,True,False,False,False,[],3,False,False,Team A,,R,,,1,,,,,4,,,3,1.0,True,[],0,2025-04-23,False,True
2025-04-04 19:22:10,MPQ,PhD,"I have a fake Spike Ball kit that I could lend (I won't be there on Wednesday itself, but that shouldn't be an issue I guess)",False,Spiffy Sable,False,False,False,True,True,False,False,False,False,False,True,False,[],3,False,False,Team A,,,,R,2,,,,,,3,,3,1.0,True,[],0,2025-04-23,False,True
2025-04-04 17:02:53,MPQ,Master's Student,,False,Shallow Anteater,True,False,False,True,False,False,False,False,False,True,False,False,['friday'],3,False,False,Team A,09,,,R,,,,,2,,,,3,1.0,True,[],0,2025-04-25,False,True
2025-04-03 13:53:21,IPP,PhD,,False,Ajar Butterfly,False,True,False,False,False,False,False,False,False,True,False,True,[],3,False,False,Team A,,R,,,,,,,2,,,4,3,1.0,True,[],0,2025-04-25,False,True
2025-03-08 12:10:53,ESO,PhD,,False,Comfortable Dunker,False,False,False,True,True,False,False,False,False,True,False,False,[],3,False,False,Team A,,,,R,2,,,,1,,,,3,1.0,True,[],0,2025-04-23,False,True
2025-03-28 15:29:16,MPE,PhD,"I have a badminton set, but I think the net is not wide enough. I could provide two rackets though",True,Kindly Clownfish,True,False,False,False,False,False,True,False,False,True,False,False,"['monday', 'tuesday', 'thursday', 'friday']",3,False,False,Team A,22,,,,,,4,,1,,,,3,1.0,True,[],0,2025-04-29,False,True
2025-03-18 14:19:48,MPE,PhD,,True,Sneaky Quokka,False,True,False,True,False,False,True,False,False,False,False,False,[],3,False,False,Team A,,R,,R,,,4,,,,,,2,0.6666666666666666,True,[],0,2025-04-28,False,True
2025-03-13 08:30:42,MPE,PostDoc,,True,Leafy Dingo,True,False,False,True,False,False,False,True,False,False,False,False,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",3,False,False,Team A,20,,,D,,,,4,,,,,3,1.0,True,[],0,2025-04-23,False,True
2025-03-10 16:55:49,IPP,PhD,,True,Grouchy Mole,True,False,False,True,False,False,False,False,False,False,False,True,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",3,False,False,Team A,25,,,R,,,,,,,,2,3,1.0,True,[],0,2025-04-29,False,True
2025-03-28 13:35:59,MPQ,Other,,False,Good-natured Falcon,False,True,False,True,False,False,False,False,False,False,True,False,[],3,False,False,Team A,,R,,R,,,,,,,4,,2,0.6666666666666666,True,[],0,2025-04-24,False,True
2025-03-28 15:02:25,MPA,PostDoc,,True,Worthy Aurochs,True,False,False,True,False,False,False,False,False,False,False,True,['friday'],3,False,False,Team A,10,,,R,,,,,,,,5,3,1.0,True,[],0,2025-04-30,False,True
2025-04-04 10:50:03,IPP,PhD,,False,Anguished Dragonfly,False,False,False,False,False,False,False,True,False,False,True,False,[],2,False,False,Team A,,,,,,,,3,,,2,,2,1.0,False,[],0,2025-04-30,False,True
2025-04-04 14:03:03,MPE,PhD,,True,Soulful Ant,False,False,False,False,False,False,True,True,False,False,False,False,[],2,False,False,Team A,,,,,,,D,4,,,,,2,1.0,True,['badminton'],1,2025-04-24,False,True
2025-04-03 20:15:12,USM/LMU,Master's Student,,False,Each Moose,False,False,False,True,True,False,False,False,False,False,False,False,[],2,False,False,Team A,,,,R,1,,,,,,,,2,1.0,True,[],0,2025-04-23,False,True
2025-04-04 15:12:36,IPP,PostDoc,,True,Reckless Swan,False,False,True,False,False,False,True,False,False,False,False,False,[],2,False,False,Team A,,,1,,,,2,,,,,,2,1.0,True,[],0,2025-04-30,False,True
2025-04-04 16:05:40,USM/LMU,PhD,,False,Courageous Bullfrog,True,False,False,False,True,False,False,False,False,False,False,False,['tuesday'],2,False,False,Team A,05,,,,1,,,,,,,,2,1.0,True,[],0,2025-04-30,False,True
2025-03-10 18:32:18,IPP,PhD,,False,Nervous Badger,False,False,False,False,True,False,False,False,False,False,False,False,[],1,False,False,Team A,,,,,D,,,,,,,,1,1.0,False,['football'],1,DROPOUT,True,False
2025-04-06 21:16:11,MPE,PhD,,False,Exotic Giraffe,False,False,True,False,False,False,False,False,False,False,True,False,[],2,False,False,Team A,,,1,,,,,,,,4,,2,1.0,True,[],0,2025-04-24,False,True
2025-03-10 12:49:39,ESO,PostDoc,,True,Unwritten Saiga,False,False,False,True,False,False,False,False,False,False,False,True,[],2,False,False,Team A,,,,R,,,,,,,,5,2,1.0,True,[],0,2025-04-28,False,True
2025-04-04 23:47:47,MPQ,PhD,,False,Valid Quoll,True,False,False,False,False,False,False,False,False,True,False,False,['wednesday'],2,False,False,Team A,12,,,,,,,,2,,,,2,1.0,True,[],0,2025-04-25,False,True
2025-04-04 19:11:02,MPQ,PostDoc,"Basketball, table tennis set for 2 person",False,Slow Beagle,True,True,False,False,False,False,False,False,False,False,False,False,"['tuesday', 'wednesday', 'thursday', 'friday']",2,False,False,Team A,11,R,,,,,,,,,,,2,1.0,True,[],0,2025-04-27,False,True
2025-03-12 09:52:31,IPP,PostDoc,,False,Delectable Peacock,False,False,False,False,False,False,False,False,True,False,False,True,[],2,False,False,Team A,,,,,,,,,,3,,3,2,1.0,True,[],0,2025-04-23,False,True
2025-04-01 14:47:58,MPP,PhD,,False,Live Reindeer,False,False,False,False,False,False,False,False,False,False,True,True,[],2,False,False,Team A,,,,,,,,,,,5,R,1,0.5,True,[],0,2025-04-23,False,True
2025-03-25 10:09:44,MPP,PhD,,False,Nonstop Cuscus,True,False,False,True,False,False,False,False,False,False,False,False,"['tuesday', 'thursday', 'friday']",2,False,False,Team A,03,,,R,,,,,,,,,2,1.0,True,[],0,2025-04-30,False,True
2025-04-01 11:52:51,USM/LMU,Master's Student,,False,Crooked Leopard,True,False,False,False,False,False,True,False,False,False,False,False,"['monday', 'tuesday', 'thursday', 'friday']",2,False,False,Team A,18,,,,,,2,,,,,,2,1.0,True,['badminton'],1,2025-04-28,False,True
2025-03-31 10:41:54,MPE,PhD,,True,Gripping Penguin,False,False,True,True,False,False,False,False,False,False,False,False,[],2,False,False,Team A,,,R,R,,,,,,,,,1,0.5,True,[],0,2025-04-30,False,True
2025-04-01 15:16:00,MPP,PhD,,False,Unwilling Starfish,False,False,False,False,False,False,False,False,False,False,True,True,[],2,False,False,Team A,,,,,,,,,,,D,D,2,1.0,True,"['beer_pong', 'foosball']",2,DROPOUT,True,False
2025-04-03 09:35:12,MPA,PostDoc,,False,Spicy Jaguar,False,False,False,False,False,False,False,False,False,False,True,True,[],2,False,False,Team A,,,,,,,,,,,R,4,1,0.5,True,[],0,2025-04-24,False,True
2025-03-20 17:02:20,MPE,Other,1x Volleyball,True,Tender Chimaera,True,False,False,True,False,False,False,False,False,False,False,False,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",2,False,False,Team A,15,,,R,,,,,,,,,2,1.0,True,[],0,2025-04-29,False,True
2025-04-03 10:21:09,MPQ,Other,A football ,False,Sturdy Antelope,False,True,False,False,False,False,False,True,False,False,False,False,[],2,False,False,Team A,,R,,,,,,1,,,,,2,1.0,True,[],0,2025-04-23,False,True
2025-03-29 16:55:05,MPA,PhD,,False,Sympathetic Tiger,False,False,False,False,False,False,False,False,False,True,True,False,[],2,False,False,Team A,,,,,,,,,1,,3,,2,1.0,True,[],0,2025-04-24,False,True
2025-04-03 11:49:58,IPP,PhD,,False,Starry Sardines,False,True,False,False,True,False,False,False,False,False,False,False,[],2,False,False,Team A,,R,,,1,,,,,,,,2,1.0,True,[],0,2025-04-23,False,True
2025-04-07 12:11:49,MPQ,PhD,,False,Upset Cheetah,False,False,False,False,False,False,False,False,False,True,False,False,[],1,False,False,Team A,,,,,,,,,1,,,,1,1.0,True,[],0,,False,False
2025-04-08 09:04:13,USM/LMU,PostDoc,"Extra badminton racket, set of Yonex MAVIS 300 shuttles",False,Wealthy Armadillo,False,False,False,False,False,False,True,False,False,False,False,False,[],1,False,False,Team A,,,,,,,D,,,,,,1,1.0,True,['badminton'],1,DROPOUT,True,False
2025-03-28 08:59:16,IPP,PhD,,False,Playful Walrus,False,False,False,False,True,False,False,False,False,False,False,False,[],1,False,False,Team A,,,,,2,,,,,,,,1,1.0,True,[],0,2025-04-23,False,True
2025-03-30 21:21:38,ESO,PhD,,True,Limp Monkey,False,False,False,True,False,False,False,False,False,False,False,False,[],1,False,False,Team A,,,,R,,,,,,,,,1,1.0,True,[],0,2025-04-28,False,True
2025-04-03 19:10:45,MPA,PhD,,False,Judicious Bonobo,True,False,False,False,False,False,False,False,False,False,False,False,"['monday', 'tuesday', 'wednesday', 'friday']",1,False,False,Team A,04,,,,,,,,,,,,1,1.0,True,[],0,2025-04-28,False,True
2025-04-03 13:59:21,MPA,PostDoc,,False,Inborn Dog,False,False,False,False,False,False,True,False,False,False,False,False,[],1,False,False,Team A,,,,,,,5,,,,,,1,1.0,True,[],0,2025-04-23,False,True
2025-04-04 10:33:20,IPP,PostDoc,Football ball ,True,Realistic Coral,False,False,False,False,True,False,False,False,False,False,False,False,[],1,False,False,Team A,,,,,1,,,,,,,,1,1.0,True,[],0,2025-04-30,False,True
2025-04-04 12:57:29,MPQ,PostDoc,,False,Grimy Newfoundland,False,False,False,True,False,False,False,False,False,False,False,False,[],1,False,False,Team A,,,,D,,,,,,,,,1,1.0,True,['volleyball'],1,DROPOUT,True,False
2025-04-04 13:45:07,MPQ,Other,,False,Front Labradoodle,False,False,False,False,False,False,False,False,False,False,True,False,[],1,False,False,Team A,,,,,,,,,,,5,,1,1.0,True,[],0,2025-04-25,False,True
2025-03-20 11:27:39,ESO,PhD,,False,Unfortunate Salamander,False,False,False,True,False,False,False,False,False,False,False,False,[],1,False,False,Team A,,,,R,,,,,,,,,1,1.0,True,[],0,2025-04-30,False,True
2025-03-27 10:42:11,MPQ,PhD,,False,Sane Wallaby,False,False,False,False,False,False,False,False,False,False,True,False,[],1,False,False,Team A,,,,,,,,,,,1,,1,1.0,True,[],0,2025-05-01,False,True
2025-04-26 20:32:51,Other,Other,,False,Well-to-do Moth,False,False,False,False,False,False,False,False,False,False,True,True,[],2,True,False,Team A,,,,,,,,,,,5,R,1,0.5,True,[],0,2025-05-01,False,True
2025-05-05 23:15:13,MPQ,Master's Student,I have 1 badminton Raquet,False,Well-off Whippet,False,False,False,False,False,False,True,False,False,False,False,False,[],1,True,,Team A,,,,,,,D,,,,,,0,0.0,True,[],0,2025-05-06,False,True
